a,b,sigma,n_paths,n_steps,x_span,mean_abs_X,rms_X,p95_abs_X,p99_abs_X,median_abs_X,frac_abs_gt_1e-06,frac_abs_gt_1e-05,frac_abs_gt_1e-04,frac_abs_gt_1e-03
1.0,0.0001873817422860383,4.328761281083062e-05,20000,8000,1.0,3.440844072743011e-05,4.3116930652481e-05,8.374794518476757e-05,0.00011178707648878807,2.9085984639758817e-05,0.9814,0.81245,0.0204,0.0
1.0,0.0001873817422860383,0.0001232846739442066,20000,8000,1.0,9.860062842481674e-05,0.00012348862521232285,0.0002397835906841483,0.00031522729228488944,8.282495174272862e-05,0.99415,0.9384,0.41795,0.0
1.0,0.0001873817422860383,0.0003511191734215127,20000,8000,1.0,0.0002800559372848517,0.0003504723296456249,0.000684740629155493,0.0008873525605116484,0.00024005143849817486,0.9979,0.9754,0.7746,0.00415
1.0,0.0001873817422860383,0.001,20000,8000,1.0,0.0008013888324519561,0.0010045481862704791,0.0019759481523012393,0.0025901055509460315,0.0006742962085008349,0.99955,0.9919,0.9199,0.3192
1.0,0.0005336699231206307,1e-08,20000,8000,1.0,7.98311651180864e-09,9.991540552769632e-09,1.955446955664494e-08,2.5502947248824187e-08,6.7400877060876714e-09,0.0,0.0,0.0,0.0
1.0,0.0005336699231206307,2.848035868435799e-08,20000,8000,1.0,2.2601203067562372e-08,2.8268886851295508e-08,5.551163521731651e-08,7.237479572442566e-08,1.9233620223553875e-08,0.0,0.0,0.0,0.0
1.0,0.0005336699231206307,8.111308307896873e-08,20000,8000,1.0,6.431293359194603e-08,8.053140078673368e-08,1.577586039323181e-07,2.097030758746422e-07,5.42515478171144e-08,0.0,0.0,0.0,0.0
1.0,0.0005336699231206307,2.310129700083158e-07,20000,8000,1.0,1.8511093921220948e-07,2.3203199018902158e-07,4.543065349915634e-07,5.929359132814364e-07,1.5608948504690712e-07,5e-05,0.0,0.0,0.0
1.0,0.0005336699231206307,6.579332246575682e-07,20000,8000,1.0,5.231438194534239e-07,6.556067813270701e-07,1.2835748208526374e-06,1.687639494309755e-06,4.4294378175415655e-07,0.12755,0.0,0.0,0.0
1.0,0.0005336699231206307,1.873817422860383e-06,20000,8000,1.0,1.4899088932194729e-06,1.8743922261577607e-06,3.675269949901104e-06,4.910644349700157e-06,1.2497766203204802e-06,0.59075,0.0,0.0,0.0
1.0,0.0005336699231206307,5.336699231206302e-06,20000,8000,1.0,4.246053854800553e-06,5.345254852379742e-06,1.0514569527063745e-05,1.3754653599404316e-05,3.5508399665878556e-06,0.84835,0.0629,0.0,0.0
1.0,0.0005336699231206307,1.5199110829529332e-05,20000,8000,1.0,1.2115554216675484e-05,1.5140359642958622e-05,2.960473903947848e-05,3.820194867615246e-05,1.0231979657213427e-05,0.9482,0.51005,0.0,0.0
1.0,0.0005336699231206307,4.328761281083062e-05,20000,8000,1.0,3.454664660901304e-05,4.334848845205491e-05,8.494560758640662e-05,0.00011316713923474694,2.9033118954528632e-05,0.98115,0.8168,0.0213,0.0
1.0,0.0005336699231206307,0.0001232846739442066,20000,8000,1.0,9.723059946854512e-05,0.00012186428850479182,0.00023970913594686968,0.00031324746530777853,8.198342290183556e-05,0.9925,0.9355,0.40975,0.0
1.0,0.0005336699231206307,0.0003511191734215127,20000,8000,1.0,0.00028069836112684665,0.00035164931439999117,0.0006864586673861558,0.000902152523557523,0.00023803235031399166,0.99835,0.97665,0.7751,0.00455
1.0,0.0005336699231206307,0.001,20000,8000,1.0,0.0007951754587721869,0.000994248140730164,0.0019416866815071905,0.0025576340930771706,0.0006717623306000574,0.99955,0.99155,0.9235,0.31655
1.0,0.0015199110829529332,1e-08,20000,8000,1.0,8.034042282679268e-09,1.007103992995801e-08,1.9664543145186954e-08,2.6196315615784432e-08,6.822072637090116e-09,0.0,0.0,0.0,0.0
1.0,0.0015199110829529332,2.848035868435799e-08,20000,8000,1.0,2.2790433674145737e-08,2.855971743166483e-08,5.580411932590034e-08,7.335488493515734e-08,1.9373623168967027e-08,0.0,0.0,0.0,0.0
1.0,0.0015199110829529332,8.111308307896873e-08,20000,8000,1.0,6.548730157488676e-08,8.169886829288693e-08,1.5948714226084297e-07,2.0719887596402387e-07,5.553274341610082e-08,0.0,0.0,0.0,0.0
1.0,0.0015199110829529332,2.310129700083158e-07,20000,8000,1.0,1.84655900646162e-07,2.3150969133893013e-07,4.5209327929886224e-07,5.872148143611254e-07,1.5542252915756611e-07,0.0,0.0,0.0,0.0
1.0,0.0015199110829529332,6.579332246575682e-07,20000,8000,1.0,5.235069073131285e-07,6.567775107992253e-07,1.2960783614777026e-06,1.6954834877436801e-06,4.4361150422434974e-07,0.1275,0.0,0.0,0.0
1.0,0.0015199110829529332,1.873817422860383e-06,20000,8000,1.0,1.4949029243129421e-06,1.8708901859257378e-06,3.675965822711123e-06,4.76371622008884e-06,1.2709366031947408e-06,0.5935,0.0,0.0,0.0
1.0,0.0015199110829529332,5.336699231206302e-06,20000,8000,1.0,4.293726177170387e-06,5.371558513049777e-06,1.052273886335801e-05,1.3785564375242462e-05,3.6643303758693395e-06,0.85235,0.06185,0.0,0.0
1.0,0.0015199110829529332,1.5199110829529332e-05,20000,8000,1.0,1.2089422964723908e-05,1.51557011212408e-05,2.9674235156566434e-05,3.902976301125529e-05,1.0152098106619595e-05,0.9507,0.50625,0.0,0.0
1.0,0.0015199110829529332,4.328761281083062e-05,20000,8000,1.0,3.451936138828303e-05,4.331422512229895e-05,8.462751876301655e-05,0.00011288212330402551,2.9334699679908315e-05,0.9815,0.81495,0.0213,0.0
1.0,0.0015199110829529332,0.0001232846739442066,20000,8000,1.0,9.848445001382953e-05,0.00012338960874208393,0.0002419693800887465,0.000316192868656527,8.410553703480211e-05,0.9932,0.93405,0.418,0.0
1.0,0.0015199110829529332,0.0003511191734215127,20000,8000,1.0,0.0002773824145500356,0.00034889221344926283,0.0006841429984114611,0.0009111849888885598,0.00023263884714816896,0.9978,0.9752,0.76965,0.00495
1.0,0.0015199110829529332,0.001,20000,8000,1.0,0.0008002365440857658,0.0010020688148892857,0.001963926820205619,0.002570597086187301,0.0006761118671429618,0.99925,0.9926,0.92275,0.3186
1.0,0.004328761281083057,1e-08,20000,8000,1.0,8.020024864791552e-09,1.0064414819436248e-08,1.987115011535418e-08,2.5859713249127513e-08,6.754745609170344e-09,0.0,0.0,0.0,0.0
1.0,0.004328761281083057,2.848035868435799e-08,20000,8000,1.0,2.2751596694361834e-08,2.8571192265432048e-08,5.6160949666600334e-08,7.441524488012034e-08,1.929087277040307e-08,0.0,0.0,0.0,0.0
1.0,0.004328761281083057,8.111308307896873e-08,20000,8000,1.0,6.482584891729373e-08,8.131773391291995e-08,1.5915007359513847e-07,2.0898794447192885e-07,5.482416088285254e-08,0.0,0.0,0.0,0.0
1.0,0.004328761281083057,2.310129700083158e-07,20000,8000,1.0,1.8635438507822653e-07,2.3319285913942383e-07,4.5725729946810826e-07,6.022667212076171e-07,1.5827200247854964e-07,0.0,0.0,0.0,0.0
1.0,0.004328761281083057,6.579332246575682e-07,20000,8000,1.0,5.24944152464083e-07,6.574493758146503e-07,1.2948529516986412e-06,1.685516436654274e-06,4.420285161104579e-07,0.13015,0.0,0.0,0.0
1.0,0.004328761281083057,1.873817422860383e-06,20000,8000,1.0,1.5025277880820637e-06,1.884385814562962e-06,3.7105860532098594e-06,4.839575855618828e-06,1.2682316612879077e-06,0.5957,0.0,0.0,0.0
1.0,0.004328761281083057,5.336699231206302e-06,20000,8000,1.0,4.245391294124249e-06,5.330607805788047e-06,1.0412246778532272e-05,1.3755374241505362e-05,3.596002547632508e-06,0.8474,0.06015,0.0,0.0
1.0,0.004328761281083057,1.5199110829529332e-05,20000,8000,1.0,1.216917407488039e-05,1.5256935833347028e-05,2.978343956017604e-05,3.9420039036674086e-05,1.0241476558784479e-05,0.9479,0.51165,0.0,0.0
1.0,0.004328761281083057,4.328761281083062e-05,20000,8000,1.0,3.4792625391296185e-05,4.362209856589721e-05,8.531293975803899e-05,0.0001127405433094625,2.933072645854167e-05,0.9815,0.81725,0.02245,0.0
1.0,0.004328761281083057,0.0001232846739442066,20000,8000,1.0,9.800799472626749e-05,0.0001233982289572861,0.00024239720736036346,0.00032125124810448324,8.215439180023887e-05,0.9935,0.9338,0.414,0.0
1.0,0.004328761281083057,0.0003511191734215127,20000,8000,1.0,0.0002799241393188277,0.00035158117996498314,0.0006893558458897059,0.0009224056250157129,0.0002348528784736761,0.9975,0.97665,0.77535,0.0051
1.0,0.004328761281083057,0.001,20000,8000,1.0,0.0008045561709613161,0.001010403157623135,0.0019763271983599807,0.0026249262029385424,0.0006779799303762413,0.99955,0.9935,0.91665,0.3219
1.0,0.012328467394420659,1e-08,20000,8000,1.0,8.090886325204633e-09,1.0114694582862758e-08,1.9852195244959464e-08,2.570805249017362e-08,6.8473855975394476e-09,0.0,0.0,0.0,0.0
1.0,0.012328467394420659,2.848035868435799e-08,20000,8000,1.0,2.2866142146084904e-08,2.8661287320716095e-08,5.624298906944473e-08,7.399784007280774e-08,1.9272379331059446e-08,0.0,0.0,0.0,0.0
1.0,0.012328467394420659,8.111308307896873e-08,20000,8000,1.0,6.535273373419118e-08,8.196617774568583e-08,1.6078796022531808e-07,2.100445773564471e-07,5.517873816840521e-08,0.0,0.0,0.0,0.0
1.0,0.012328467394420659,2.310129700083158e-07,20000,8000,1.0,1.8509512369741583e-07,2.3237666971579142e-07,4.555502541065851e-07,6.058106294272077e-07,1.5580143505324917e-07,0.0,0.0,0.0,0.0
1.0,0.012328467394420659,6.579332246575682e-07,20000,8000,1.0,5.281697884742613e-07,6.627782839803358e-07,1.2955579830984963e-06,1.7226443986003839e-06,4.47246055269706e-07,0.1304,0.0,0.0,0.0
1.0,0.012328467394420659,1.873817422860383e-06,20000,8000,1.0,1.5145647517544328e-06,1.8991199685019045e-06,3.72998976753279e-06,4.90683665898446e-06,1.279254545537428e-06,0.6001,0.0,0.0,0.0
1.0,0.012328467394420659,5.336699231206302e-06,20000,8000,1.0,4.288246759871765e-06,5.381455218822883e-06,1.0549643837858368e-05,1.3830445385496445e-05,3.6177119985113006e-06,0.84915,0.06355,0.0,0.0
1.0,0.012328467394420659,1.5199110829529332e-05,20000,8000,1.0,1.2172100397129622e-05,1.52681816408925e-05,2.9618726060186417e-05,3.9692480070400607e-05,1.0301373606966387e-05,0.94985,0.5126,0.0,0.0
1.0,0.012328467394420659,4.328761281083062e-05,20000,8000,1.0,3.4903308320520097e-05,4.3702846532824256e-05,8.574702293937149e-05,0.00011209086110460729,2.9473345498700688e-05,0.98185,0.823,0.0216,0.0
1.0,0.012328467394420659,0.0001232846739442066,20000,8000,1.0,9.868103250195044e-05,0.0001236699656771886,0.00024247063217863762,0.0003215841451910478,8.347253682287217e-05,0.9929,0.9347,0.41555,0.0
1.0,0.012328467394420659,0.0003511191734215127,20000,8000,1.0,0.0002814423435770002,0.0003530654709123612,0.0006916904570766168,0.0009189205070663513,0.0002379303653277839,0.9978,0.9781,0.77535,0.00505
1.0,0.012328467394420659,0.001,20000,8000,1.0,0.000799412838050114,0.0010020048432557102,0.0019530959636425566,0.0026032323180677757,0.0006710049044095329,0.99895,0.9921,0.921,0.3215
1.0,0.03511191734215127,1e-08,20000,8000,1.0,8.109534233129174e-09,1.0178618719162932e-08,2.015816835339699e-08,2.6137327416088365e-08,6.842617061929771e-09,0.0,0.0,0.0,0.0
1.0,0.03511191734215127,2.848035868435799e-08,20000,8000,1.0,2.2988593304598627e-08,2.8701389372248416e-08,5.583868233302004e-08,7.335773885425604e-08,1.9625725347648753e-08,0.0,0.0,0.0,0.0
1.0,0.03511191734215127,8.111308307896873e-08,20000,8000,1.0,6.57673126679492e-08,8.244183156438417e-08,1.6128639528271515e-07,2.1315373763980023e-07,5.5626388743997645e-08,0.0,0.0,0.0,0.0
1.0,0.03511191734215127,2.310129700083158e-07,20000,8000,1.0,1.8929111018724868e-07,2.3735052278344907e-07,4.650453284076091e-07,6.171598295604933e-07,1.6056963745532388e-07,5e-05,0.0,0.0,0.0
1.0,0.03511191734215127,6.579332246575682e-07,20000,8000,1.0,5.315036468894708e-07,6.63919585257515e-07,1.3000365536371936e-06,1.6891687469788236e-06,4.523639090662064e-07,0.1329,0.0,0.0,0.0
1.0,0.03511191734215127,1.873817422860383e-06,20000,8000,1.0,1.5232801956139593e-06,1.912230662270993e-06,3.7224344567420324e-06,4.9661452415572374e-06,1.2859914447949448e-06,0.5991,0.0,0.0,0.0
1.0,0.03511191734215127,5.336699231206302e-06,20000,8000,1.0,4.338605247500259e-06,5.453932258621686e-06,1.0684705841030499e-05,1.4193554614410944e-05,3.6403867405486166e-06,0.8518,0.0666,0.0,0.0
