power,L_over_R_H,N_eff,sigma_0_eff,L_metres,L_over_l_P
2,2.0520454628619358e-53,4.210890581652256e+16,4.873186379629842e-09,2.87286364800671e-27,177748167.70909974
2,2.5843654310599764e-53,6.678944681257818e+16,3.869421823947902e-09,3.618111603483967e-27,223857720.68664703
2,3.254774225100678e-53,1.0593555256379717e+17,3.072409730567618e-09,4.556683915140949e-27,281928527.0666416
2,4.099093390223302e-53,1.6802566621772365e+17,2.439563837176991e-09,5.738730746312623e-27,355063448.9181857
2,5.162436918724491e-53,2.6650754939809613e+17,1.937069674155118e-09,7.227411686214286e-27,447170260.02792174
2,6.501621798462561e-53,4.227108601024355e+17,1.538077776588712e-09,9.102270517847585e-27,563170447.599394
2,8.188203880404541e-53,6.704668278707199e+17,1.2212690531474586e-09,1.1463485432566358e-26,709262179.0847582
2,1.0312301278878669e-52,1.0634355766636264e+18,9.69715656046792e-10,1.4437221790430138e-26,893251485.0954915
2,1.2987409597953296e-52,1.686728080650094e+18,7.699764856554546e-10,1.8182373437134616e-26,1124969354.287202
2,1.635646627300152e-52,2.6753398893983626e+18,6.113790003960882e-10,2.289905278220213e-26,1416797026.595564
2,2.0599488059728037e-52,4.2433890832287795e+18,4.854489573238465e-10,2.8839283283619254e-26,1784327552.4975486
2,2.594318975996085e-52,6.730490949213374e+18,3.8545761305856833e-10,3.632046566394519e-26,2247198966.991297
2,3.2673098135732177e-52,1.0675313417871856e+19,3.060621909332721e-10,4.5742337390025046e-26,2830143596.7730985
2,4.114880828704925e-52,1.6932244234443327e+19,2.4302040365886607e-10,5.760833160186895e-26,3564309567.6034384
2,5.182319767811075e-52,2.685643817584543e+19,1.9296377776826832e-10,7.255247674935505e-26,4488925123.161571
2,6.5266624463333366e-52,4.259732268837786e+19,1.532176680229261e-10,9.137327424866671e-26,5653394683.924672
2,8.219740308763357e-52,6.756413074350913e+19,1.2165834472092319e-10,1.15076364322687e-25,7119938643.511513
2,1.035201855451639e-51,1.0716428815305161e+20,9.659951773982466e-11,1.4492825976322946e-25,8966917953.121843
2,1.3037429909896507e-51,1.6997457865546406e+20,7.670223402243687e-11,1.825240187385511e-25,11293021134.570417
2,1.6419462326147722e-51,2.6959874307978435e+20,6.090333411268386e-11,2.298724725660681e-25,14222537444.033773
2,2.0678825883860453e-51,4.2761383993501706e+20,4.835864500317141e-11,2.8950356237404634e-25,17911997944.2629
