gamma,n_th,r,t_half,t_half_theory,gamma_eff,rel_err,abs_a2_0
4.8,0.3,0.8,0.14453537940438307,0.09025353913540955,7.68,0.6014372487657594,1.1877839766001137
4.8,0.3,1.2,0.14453535166637027,0.09025353913540955,7.68,0.6014369414314092,2.7331143014991333
4.8,0.3,1.5,0.14453516119726506,0.09025353913540955,7.68,0.6014348310531678,5.00738263179306
4.8,0.3,1.8,0.14453176111767485,0.09025353913540955,7.68,0.6013971585184087,8.95423967786134
4.8,0.5,0.8,0.14453524963748887,0.07220283130832764,9.6,1.001794763702274,1.1877839766001137
4.8,0.5,1.2,0.1445353618884301,0.07220283130832764,9.6,1.0017963183634861,2.7331143014991333
4.8,0.5,1.5,0.1445349182038305,0.07220283130832764,9.6,1.001790173388399,5.00738263179306
4.8,0.5,1.8,0.14452686981510937,0.07220283130832764,9.6,1.0016787042316457,8.95423967786134
4.8,1.0,0.8,0.1445352483427282,0.04813522087221843,14.399999999999999,2.002692118655006,1.1877839766001137
4.8,1.0,1.2,0.14453531980822582,0.04813522087221843,14.399999999999999,2.0026936033370393,2.7331143014991333
4.8,1.0,1.5,0.14453394804677006,0.04813522087221843,14.399999999999999,2.0026651052553666,5.00738263179306
4.8,1.0,1.8,0.14450832675044642,0.04813522087221843,14.399999999999999,2.002132827728446,8.95423967786134
