# tc_Gyr ll dlnL_vs_LCDM max_abs_rank1_amp
2.659804395593758475e+00 2.489956252063911535e+01 0.000000000000000000e+00 6.659482140675107251e-60
2.759826392466180334e+00 2.489956252063911535e+01 0.000000000000000000e+00 5.733502637521340371e-60
2.863609718508115964e+00 2.489956252063911535e+01 0.000000000000000000e+00 4.963134609420976256e-60
2.971295818577333936e+00 2.489956252063911535e+01 0.000000000000000000e+00 4.318800744124809136e-60
3.083031456568277040e+00 2.489956252063911535e+01 0.000000000000000000e+00 3.777104912338566623e-60
3.198968915434537763e+00 2.489956252063911535e+01 0.000000000000000000e+00 3.319436535397851424e-60
3.319266204733183123e+00 2.489956252063911535e+01 0.000000000000000000e+00 2.930911347954161305e-60
3.444087275973816364e+00 2.489956252063911535e+01 0.000000000000000000e+00 2.599562754754436957e-60
3.573602246065780808e+00 2.489956252063911535e+01 0.000000000000000000e+00 2.315720982898701367e-60
3.707987629168164823e+00 2.489956252063911535e+01 0.000000000000000000e+00 2.071533786135205240e-60
3.847426577258497904e+00 2.489956252063911535e+01 0.000000000000000000e+00 1.860594446798028600e-60
3.992109129748045326e+00 2.489956252063911535e+01 0.000000000000000000e+00 1.677651555697431485e-60
4.142232472483889261e+00 2.489956252063911535e+01 0.000000000000000000e+00 1.518381451335284665e-60
4.298001206490789983e+00 2.489956252063911535e+01 0.000000000000000000e+00 1.379208917465376024e-60
4.459627626819086643e+00 2.489956252063911535e+01 0.000000000000000000e+00 1.257165234253924287e-60
4.627332011878683815e+00 2.489956252063911535e+01 0.000000000000000000e+00 1.149775283320844140e-60
4.801342923653445283e+00 2.489956252063911535e+01 0.000000000000000000e+00 1.054967358115449496e-60
4.981897519205154445e+00 2.489956252063911535e+01 0.000000000000000000e+00 9.710007999758305457e-61
5.169241873891593286e+00 2.489956252063911535e+01 0.000000000000000000e+00 8.964076915382640441e-61
5.363631316739234656e+00 2.489956252063911535e+01 0.000000000000000000e+00 8.299456840132723045e-61
5.565330778427640013e+00 2.489956252063911535e+01 0.000000000000000000e+00 7.705596801434474195e-61
5.774615152359814374e+00 2.489956252063911535e+01 0.000000000000000000e+00 7.173505897972023222e-61
5.991769669310612834e+00 2.489956252063911535e+01 0.000000000000000000e+00 6.695497567693622237e-61
6.217090286163820423e+00 2.489956252063911535e+01 0.000000000000000000e+00 6.264979507600026275e-61
6.450884089267685972e+00 2.489956252063911535e+01 0.000000000000000000e+00 5.876280481337119610e-61
6.693469712958654227e+00 2.489956252063911535e+01 0.000000000000000000e+00 5.524507043022644897e-61
6.945177773823688838e+00 2.489956252063911535e+01 0.000000000000000000e+00 5.205424610445934315e-61
7.206351321293045231e+00 2.489956252063911535e+01 0.000000000000000000e+00 4.915358425962888010e-61
7.477346305177580810e+00 2.489956252063911535e+01 0.000000000000000000e+00 4.651110816255798586e-61
7.758532060787827866e+00 2.489956252063911535e+01 0.000000000000000000e+00 4.409891854049093483e-61
8.050291812295972349e+00 2.489956252063911535e+01 0.000000000000000000e+00 4.189261075363028125e-61
8.353023195026770154e+00 2.489956252063911535e+01 0.000000000000000000e+00 3.987078345408120379e-61
8.667138797389224436e+00 2.489956252063911535e+01 0.000000000000000000e+00 3.801462318356444416e-61
8.993066723187613576e+00 2.489956252063911535e+01 0.000000000000000000e+00 3.630755219297922372e-61
9.331251175078239868e+00 2.489956252063911535e+01 0.000000000000000000e+00 3.473492904993899186e-61
9.682153059967076203e+00 2.489956252063911535e+01 0.000000000000000000e+00 3.328379344764194357e-61
1.004625061717340273e+01 2.489956252063911535e+01 0.000000000000000000e+00 3.194264812775094743e-61
1.042404007021555756e+01 2.489956252063911535e+01 0.000000000000000000e+00 3.070127205060213502e-61
1.081603630310709363e+01 2.489956252063911535e+01 0.000000000000000000e+00 2.955055994280076199e-61
1.122277356208507193e+01 2.489956252063911535e+01 0.000000000000000000e+00 2.848238416854774727e-61
1.164480618372685505e+01 2.489956252063911535e+01 0.000000000000000000e+00 2.748947554144534218e-61
1.208270935044775918e+01 2.489956252063911535e+01 0.000000000000000000e+00 2.656532024566166752e-61
